iso2|state|capital|comment
AC|Ácri|Híu Brãcu|
AL|Alagòuas|Maseió|Alagòas?
AP|Amapá|Macapá|estão de parabéns
AM|Amazònas|Manáus|
BA|Baía|Sauvadòʀ|
SA|Seará|Foʀtalèza|
-|Djistrítu Federáu|Brazíllia|remover do país
IS|Ispíritu Sãtu|Vitória|
GO|Goiás|Goiània|
MA|Maràĩàũ|Sàũ Luís|será que fica claro que o segundo "à" é o tônico?
MT|Mátu Gròsu|Cuiabá|
MS|Mátu Gròsu du Sû|Cãpu Grãdji|
MJ|Mínas Jeráis|Bélu Orizòũtxi|
PA|Pará|Belèĩ|
PB|Paraíba|Juàũ Pesòua|Joàũ? Pesòa?
PR|Paraná|Curitxíba|nova capital do Brasil
PE|Peʀnãbúcu|Hesífi|
PI|Pïauí|Terezína|
HJ|Híu dji Janèiru|Híu dji Janèiru|
HN|Híu Grãdji du Nóʀtxi|Natáu|
HS|Híu Grãdji du Sû|Pòʀtu Alégri|
HO|Hoũdònia|Pòʀtu Vélliu|
HГ|Horàima|Bòua Vísta|Bòa?
SC|Sãta Catarína|Nósa Seĩóra du Destèhu|re-renomear florianópolis para Desterro
SP|Sàũ Páulu|Sàũ Páulu|
SE|Seʀjípi|Aracajú|
TO|Tocãtxíĩs|Páumas|Tocãtxĩs?