ptbr, brbr1, brbr2, brbr3, brbr4
   6,     7,     7,     7,     7
   7,     8,     8,     8,     8
   6,     5,     5,     5,     5
   9,     9,    10,    10,    10
  10,    10,    11,    11,    11
   3,     4,     4,     4,     4
   4,     6,     6,     6,     4
   3,     3,     3,     3,     3
   4,     5,     5,     5,     5
   6,     7,     7,     7,     7
   6,     9,     9,     9,     9
   5,     5,     5,     5,     5
   9,    13,    13,    14,     9
   5,     5,     7,     7,     5
   4,     6,     6,     6,     4
   6,    10,    11,    10,    10
   6,     8,     6,     8,     6
   6,     6,     7,     7,     7
   7,    10,    11,    11,    11
   7,     6,     6,     6,     6
   5,     6,     8,     8,     6
   4,     6,     5,     6,     4
   3,     3,     3,     3,     3
   9,    13,    14,    14,    12
   8,    12,    12,    12,    10
   5,     4,     4,     4,     4
   6,     9,     9,     9,     7
   5,    10,     8,     8,     8