uppercase|lowercase|name|comment|example
A|a|Á||
Á|á|Á agúdu||água (pt. água)
À|à|Á grávi||màĩ (pt. mãe)
Ã|ã|Á nazáu||ãtxis (pt. antes)
Ä|ä|Á dúplu||äcéla/aacéla (pt. àquela)
E|e|È||
É|é|È agúdu||
È|è|È grávi||
Ë|ë|È dúplu||eĩprëĩdjimèĩtu/eĩpreeĩdjimèĩtu (pt. empreendimento)
I|i|Í||
Í|í|Í agúdu||
Ĩ|ĩ|Í nazáu||ĩdjijèĩtxi (pt. indigente)
Ï|ï|Í dúplu||macïájeĩ/maciiájeĩ (pt. maquiagem)
O|o|Ò||
Ó|ó|Ò agúdu||agóra (pt. agora)
Ò|ò|Ò grávi||òũteĩ (pt. ontem)
Ö|ö|Ò dúplu||zönózi/zoonózi (pt. zoonose)
U|u|Ú||
Ú|ú|Ú agúdu||
Ũ|ũ|Ú nazáu||ũ (pt. um)
Ü|ü|Ú dúplu||acüádu/acuuádu (pt. acuado)
Û|û|Ú agúdu-grávi||sû (pt. sul); azû (pt. azul)